Reference Name	Keywords	Link
3 language learning secrets: There’s not a “best” way to learn, it’s a long term goal, input importance delay output	3secrets, 3tips	https://youtu.be/Z1zi2sVrg28
Learning for free, with 10$, 20$ or 30$	freelearning	https://youtu.be/5H7tKlYxPmk
Creating and updating a realistic learning plan	learningplan	https://youtu.be/VlM5LbMEe2w
Toggl tutorial	toggl, toggltutorial, toggle, toggletutorial	https://youtu.be/dm6RYK9J61k
Crosstalk tutorial	crosstalk, crosstalktutorial	https://youtu.be/0KsLxyYnZAk
Role of the SRS / How to utilize Anki	roleofanki, roleofsrs, howtouseanki	https://youtu.be/oPjviVeE0yQ
Stop translating in your head	translating, stoptranslating	https://youtu.be/FbSrCCPeTUc
CI as an easy way to learn and the struggles, toki pona CI series rec	CI, comprehensibleinput, easiestwaytolearn	https://youtu.be/woj49RYxDMY
The 4 Learner Types, based on ambiguity and simplification	4learnertypes, learnertypes, 4types	https://youtu.be/jsmSej05EMk
Role of Noticing	noticing	https://youtu.be/XnTJnF6EOdM
Long Anki tutorial	ankitutorial	https://youtu.be/Y1excIuX9KI
Language Reactor Tutorial / Interactive immersion / 3-channel reading	languagereactor, interactiveimmersion, 3channelreading	https://youtu.be/F3l8o2ltSDk
ASBplayer setup tutorial	asbplayer	https://youtu.be/Pv4Sp01Uh64
Lute Tutorial	lute	https://youtu.be/mN6kUfrKpvk
Mining grammar structures	grammarmining, learngrammar	https://youtu.be/L3R6x0SXtWg?si=YSaEenCosqYfwhfQ
The best low-effort pronunciation activities	loweffortpronunciation	https://youtu.be/TgBMHc6DHaE
Download subtitles / Why subs are important	downloadsubs, subtitles, subs	https://youtu.be/8c8AU_FDmX8
Reading or listening approach from the start	readingorlistening	https://youtu.be/XU6rnrkjC2A
Learn every day	learndaily	https://youtu.be/d8CASKLfNxQ
1 and 2 hour per day timeline	1hour, 1hourperday, onehour, onehourdaily	https://youtu.be/6_9okAHKjJk
Sentence Mining with ASBplayer	sentencemining	https://youtu.be/jXO4gmCmcNE
3 steps to become a polyglot	polyglot	https://youtu.be/N2pVjSTXgB4
Revive your language learning by starting a project - Ben’s projects for Spanish and experience	project, startaproject	https://youtu.be/jgcoa2jXGPs
Refold main misconceptions	refoldmisconceptions, misconceptions, refoldmyths, myths	https://youtu.be/g27VzYFparw
How to use ChatGPT 4 as the best dictionary	chatgptdict, dictionary, aidictionary	https://youtu.be/31IxLn_iBs0
Whisper AI setup tutorial	whisper	https://youtu.be/okfw4qXtDVM
Remembering vocab and grammar: Context, cloze cards, more in the course	learninggrammarandvocab	https://youtu.be/HI_y9xxsRrU
“Useless” immersion activities: Not paying attention, too much of only one activity, dialects, not constantly improving process	uselessimmersion, lowattention	https://youtu.be/lhNpwBFDgww
Using tutors for outputting more efficiently	tutors, usingtutors, bettertutoring	https://youtu.be/DiGx20C6pVs
Anki shortcuts for all devices	ankishortcuts	https://youtu.be/Ci7WWJIZuu8
Vocabsieve tutorial	vocabsieve	https://youtu.be/_WT2FukXNAg
Optimal Input	optimalinput	https://youtu.be/s3DPK4OeQ58
Chorusing tutorial	chorusing, chorus, shadowing	https://www.youtube.com/watch?v=m5JwiNSIHxY
Python, PIP, FFmpeg installation tutorial for all OS	python	youtu.be/KTawAg3VgCI
Ben’s goals for 2024 and webinar invitation	bensgoals2024	https://youtu.be/NX7VSCD5sB8
yt-dlp tutorial	ytdlp, youtubedownload, downloadyoutube, youtubedl	https://youtu.be/Sjt5R6wlEIk
How to learn Spanish	learnspanish, startspanish, spanishfailedyou	https://youtu.be/UQ0FL1QYbek
Finding and creating content for a language with limited resources	limitedresources	https://youtu.be/Z-V8xA7lyEQ
Elevenlabs showcase / Text to speech	elevenlabs	https://youtu.be/Mwe1GcInFuI
Ben's Czech 250 hours/200 days update	czech250	https://youtu.be/6cVIi8n7Tmw
You have to consciously work on your skills to go beyond functional fluency	conciouswork	https://youtu.be/fzUJxhZb1j8
YouGlish tutorial	youglish	https://youtu.be/Y_uCIuH4sog
Age factor in language learning	age	https://youtu.be/x4YsI8FwgWI
Substituting SRS for Reading	readingorsrs, srsorreading	https://youtu.be/dMsw-Pxjvrk
Multipass Method	multipass	https://youtu.be/-tQvKGPassU
Why translated content is still good for immersion	translatedcontent, translations	https://youtu.be/n3zacuzVWbg
Does practicing transcription help with listening	transcription	https://youtu.be/t0BC-1Rmc4I
Using kids’ content as first domain, risks and advantages	kidscontent	https://youtu.be/AAN3CL8pTmg
Ben's Czech 150 hours update	czech150	https://youtu.be/I8K9YxRJOLE
Discussing your decision to postpone speaking	whyarentyouspeaking, whynospeak	https://youtu.be/e9VoZc1qkaQ
Optimize output gains when in the TL country	outputtinginthecountry	https://youtu.be/KklO-6w6cNY
The “suffering” factor in language learning - Do tools make everything too easy	suffering	https://youtu.be/Zb2mYbmYixY
How to not lose contact with the language during vacations	vacation	https://youtu.be/GoW0QnMAZOA
What the Refold team learned from their coaching service: Motivation issue and building the inferring muscle	refoldcoachinglessons	https://youtu.be/Dmb4H7QI6WE
Shtooka setup tutorial for recording audio	shtooka, 1kaudiorecording	https://youtu.be/ISgltNCSCZk
subs2cia for making condensed audio from video and subs files	subs2cia, condensedaudio, condaudio	https://youtu.be/PBZtGFZzfaU
Continue or stop learning when life gets hard	lifeishard	https://youtu.be/tOXFE-Laod0
What to do with Anki leeches	ankileeches, leeches	https://youtu.be/67BmUHeF9rM
Goldlist Method	goldlist	https://youtu.be/xi7SCDi4oUE
Ben’s Interview with Mr Salas	beninterview	https://youtu.be/Z9GozEGJdnQ?si=5e9IqUJkgLZBn_tk
Noticing Game Demo	noticinggame, noticinggamedemo, noticingdemo	https://youtu.be/1azQp3N_IAI
Noticing Game with Confirmation Demo	noticinggameconfdemo, noticinggamewithconfdemo, noticingconfirmationdemo, noticingdemo2	https://youtu.be/Xve6Y81dC58
Intensive Reading Demo	3channelreadingdemo, intensivereadingdemo, readingdemo	https://www.youtube.com/watch?v=XLZCM8f61yY
Interactive Hours Spreadsheet Demo	hourssheet, hoursheet, interactivespreadsheet, hourscalculation, hourscalculator	https://youtu.be/rz3IAfYpCc4
Watching shows to boost your READING ability? - 3-channel reading tutorial	3channelreading, interactivereading, 3-channeltutorial	https://youtu.be/9KlwmHXsXhQ
Is immersion SLOWER than other language learning methods? - Ask Ethan	refoldslower, isrefoldslower, refoldspeed, immersionvstraditional	https://youtu.be/F5YhPFsr3g4
English reading deck tutorial	engreading, englishreading, readingenglish, readeng, readenglish	https://youtu.be/-9h3H3cpFcw
Can't understand without subtitles? STOP using them!	losesubtitles, subtitledependance, kickthesubtitles, kickthesubs	https://youtu.be/qUJ3EdjCks0
What's Ben's progress after 320 days of learning Czech?	czech500	https://youtu.be/UnYhcDP3ssQ
What's the role of technology in language learning?	techinlanguagelearning, languagetech, technology	https://youtu.be/8JStT_nd56Q